Lng,Lat,Naam,beschrijving
Lng,Lat,Naam,beschrijving
4.8969352123,52.381420078,Westertoegang (147),de_ruyterkade
4.8848652717,52.3825562982,Dommersbrug (148),brouwersgracht_hoek_palmgracht
4.8826336738,52.3838856714,Bullebak (149),marnixstraat_hoek_brouwersgracht
4.8797047015,52.3814724692,Rotterdammerbrug (150),nassaukade_hoek_jacob_catskade
4.8822581645,52.3849105056,Willemsbrug (151),korte_marnixkade_hoek_haarlemmer
4.8815286037,52.3856701119,Mirakelbrug (152),ingang_westerpark
4.8790395137,52.3818850477,Kattenslootbrug (155),jacob_catskade_hoek_nassaukade
4.8768937465,52.3703313921,Groenmarktbrug (156),marnixstraat_hoek_groenmarkt
4.9047028896,52.3678748682,Tunfun (158),mr_visserplein2
4.9230491992,52.3613464016,Brug no. 159,oosterpark
4.8762607452,52.3737211707,Bullebakssluis (160),marnixstraat_hoek_bloemgracht
4.8780953761,52.3784991704,Zaagpoort (161),nassaukade_hoek_marnixplein
4.8474162694,52.3754880101,Sa�dja en Adindabrug (162),hoofdweg_hoek_erasmusgracht
4.938804495,52.3752030936,Blauwehoofdbrug (163),ertshaven_hoek_verbindingsdam
4.8695874091,52.3685921873,Smederij Meisterbrug (164),bilderdijkkade_hoek_kwakersstraa
4.875423896,52.3740814217,Raampoort (165),nassaukade_hoek_2e_hugo_de_groot
4.8749035474,52.3732757654,Nassaubrug (166),nassaukade_hoek_hugo_de_grootkad
4.8745334026,52.3718903951,Rijckerbrug (167),rozengracht_hoek_nassaukade
4.933697569,52.3438494174,Brug no. 168,kruislaan2
4.876797187,52.3684939251,Oude Kinkerbrug (169),oude_kinkerbrug
4.8782402154,52.3662371098,Koekjesbrug (170),koekjesbrug
4.8729294416,52.3790198396,Van Hallbrug (171),van_der_palmkade_hoek_van_hallst
4.8978417989,52.3551380587,Liefdesbruggetje (172),sarphatipark_1
4.8648774501,52.3702331338,Wiegbrug (173),wiegbrug
4.881212103,52.3632496819,Leidsebrug (174),leidseplein_hoek_leidsegracht
4.8801606771,52.3652282203,Marnixbrug (175),leidsegracht_hoek_marnixstraat
4.8870271322,52.3599999697,Stadshoudersbrug (176),stadhouderskade_hoek_hobbemakade
4.906902301,52.3918348806,Wasknijper (177),distelweg
4.8770815011,52.366654744,Osdorperbrug (178),nassaukade_hoek_j
4.8667335388,52.3637541521,Hennetjesbrug (179),hennetjesbrug
4.8743027326,52.3665482886,Brug no. 180,da_costakade_hoek_j
4.8733639594,52.3655394062,Pesthuysbrug (181),bilderdijkstraat_hoek_jac
4.8646414157,52.3854589296,Het Sluisje (182),haarlemmerweg1
4.8735570785,52.3676324838,Brug no. 183,da_costakade_hoek_kinkerstraat
4.871561515,52.3657949046,Brug no. 184,bilderdijkkade_hoek_jac
4.895545828,52.3539192209,Brug no. 185,sarphatipark_3
4.8578500625,52.3643208553,Brug no. 186,baarsjesweg_hoek_postjesweg
4.9119019386,52.361267779,Spinozabrug (187),spinozastraat
4.9282526847,52.3553182604,Oetewalerbrug (189),middenweg1
4.9409127113,52.3584110617,Hartmanbrug (190),molukkenstraat_hoek_valentijnkad
4.897047865,52.3546007257,Brug no. 191,sarphatipark_2
4.9064034101,52.364347061,Brug no. 192,nieuwe_kerkstraat
4.8748659965,52.3856291851,Westergasbrug (193),haarlemmervaart
4.9218100187,52.3521711784,Brug no. 194,nobelweg4
4.9529021856,52.3578999781,Brug no. 195,sportpark_nieuwe_diep_over_de_ri
4.9478596326,52.3626305516,Brug no. 196,javastraat
4.9132215854,52.3777050562,Zouthavenbrug (197),piet_heinkade4
4.8840552446,52.3629974447,Brug no. 198,kleine_gartmanplantsoen_hoek_lei
4.8548030731,52.3578639399,Overtoomsesluis (199),overtoom_hoek_sloterkade
4.8768830177,52.360507753,Vondelbrug (200),vondelbrug
4.8942690965,52.3693438859,Sleutelbrug (201),o_z_voorburgwal_hoek_grimburgwal
4.8926597711,52.3691408139,Grimnessesluis (202),oude_turfmarkt_hoek_lange_brugst
4.8947089788,52.3707555381,Lommertbrug (203),o_z_achterburgwal_hoek_enge_lomb
4.8957657691,52.3718379925,Varkenssluis (204),o_z_voorburgwal_hoek_damstraat
4.8968279239,52.3726895265,St. Jansbrug (205),o_z_voorburgwal_hoek_st
4.8984157916,52.3739209466,Oudekerksbrug (206),o_z_voorburgwal_hoek_oudekenniss
4.899370658,52.374739691,Liesdelsluis (207),o_z_voorburgwal_hoek_lange_nieze
4.9000197526,52.3753652015,Armbrug (208),zeedijk_hoek_o
4.9007063981,52.3751556074,Vredenburgerbrug (209),vredenburgersteeg
4.9001699563,52.3745071692,Stormsteegbrug (210),o_z_achterburgwal_hoek_korte_sto
4.8992794629,52.3736982455,Majoor Bosshardtbrug (211),molensteeg
4.9487608548,52.3622898624,Brug no. 212,flevopark1
4.9209892627,52.375447074,Brug no. 213,dijksgracht
4.8977720615,52.3723816661,Stoofbrug (214),o_z_achterburgwal_hoek_stoofstee
4.8969030257,52.3715039247,Paulusbroedersluis (215),o_z_achterburgwal_hoek_damstraat
4.8957443115,52.3702658866,Ruslandbrug (216),o_z_achterburgwal_hoek_rusland
4.9345558759,52.3510866037,Frankendaelbrug (217),middenweg_153
4.8948645469,52.3693127701,Gasthuisbrug (218),o_z_achterburgwal_hoek_grimburgw
4.8937970277,52.367537495,Doelensluis (220),oude_turfmarkt_hoek_nieuwe_doele
4.8958623286,52.3673409657,Halvemaansbrug (221),kloveniersburgwal_hoek
4.8962592956,52.3683792856,Aluminiumbrug (222),kloveniersburgwal_hoek_staalstra
4.8976647731,52.3698925032,Oost-Indische brug (223),kloveniersburgwal_hoek_raamgrach1
4.8987322923,52.3709929925,Bushuissluis (224),kloveniersburgwal_hoek_oude_hoog
4.8980563756,52.369921981,Zandbrug (225),kloveniersburgwal_hoek_raamgrach
4.8989736911,52.3696566805,Raemsluis (226),groenburgwal_hoek_raamgracht
4.8976325866,52.368235167,Staalmeestersbrug (227),groenburgwal_hoek_staalstraat
4.9034047004,52.3770386441,Brug no. 228,oosterdokstraat
4.8990380641,52.3680975987,B. Bijvoetbrug (229),staalstraat_hoek_zwanenburgwal
4.9001002189,52.3694470593,Moddermolenbrug (230),raamgracht_hoek_zwanenburgwal
4.853107917,52.363796737,Postjesbrug (231),postjeskade_hoek_hoofdweg
4.9073636409,52.3663681327,Brug no. 232,hortusplantsoen
4.906312215,52.3666432795,Victoria Regiabruggetje (233),in
4.9081575748,52.3658964484,Piet Meerburgbrug (234),nieuwe_keizersgracht
4.9368357536,52.3523169878,Brug no. 235,wethouder_frankeweg
4.9009048816,52.3663550304,Blauwbrug (236),amstelstraat_hoek_amstel
4.9019133922,52.3659226532,Walter S�skindbrug (237),amstel_hoek_nieuwe_herengracht
4.9048101779,52.3664598485,M.S. Vaz Diasbrug (238),weesperstraat_hoek_nieuwe_hereng
4.9070846912,52.3673638941,Hortusbrug (239),muiderstraat_hoek_nieuwe_herengr
4.9055504676,52.3651823612,L.H. Sarlouisbrug (240),weesperstraat_hoek_nieuwe_keizer
4.90257858,52.3646189448,Dirk van Nimwegenbrug (241),amstel_hoek_nieuwe_keizersgracht
4.9023747321,52.3635903637,Magere Brug (242),amstel_hoek_lange_kerkstraat
4.9469315883,52.3517599606,Brug no. 243,kruislaan_over_eerste_molenweter
4.8425131914,52.4042011084,Brug no. 244,nieuwe_hemweg3
4.9458050605,52.3442836492,Rinus Michelsbrug (245),park_de_meer10
4.9040484306,52.3603832647,Hoge Sluis (246),amstel_hoek_sarphatistraat
4.9016451713,52.3585748692,Oudshoornbrug (247),stadhouderskade_hoek_hemonystraa
4.8992204543,52.358089997,Paleis voor Volksvlijtbrug (248),stadhouderskade_hoek_nic
4.9019563075,52.3730088475,Brug no. 249,rechtboomssloot_hoek_lastageweg
4.9034207937,52.3629302904,Jan Vinckbrug (250),amstel_hoek_nieuwe_prinsengracht
4.9066126224,52.3634970041,Dr. D�nnerbrug (251),weesperstraat_hoek_nieuwe_prinse
4.9052286025,52.3620228781,Brug no. 252,korte_amstelstraat_hoek_nieuwe_a
4.9044883128,52.3629663244,Brug no. 253,onbekende_gracht_hoek_nieuwe_pri
4.929282653,52.3433283336,Brug no. 254,fizeaustraat1
4.9057006713,52.3594332111,Tulpbrug (255),prof_tulpplein
4.9216437217,52.3523022431,Zuid-Afrikabrug (256),schalkburgerstraat
4.9072670814,52.3623996039,Dr. Meijer de Hondbrug (257),nieuwe_achtergracht_hoek_weesper
4.9108773347,52.3643159417,Ben Polakbrug (258),nieuwe_prinsengracht_hoek_roeter
4.9106681224,52.3652265825,Lau Mazirelbrug (259),plantage_kerklaan_hoek_plantage_
4.9106466647,52.3630547715,Halverstadbrug (260),nieuwe_achtergracht_hoek_roeters
4.9394374963,52.366574493,Veebrug (261),veelaan
4.9394160386,52.3673213127,Slachthuisbrug (262),veelaan2
4.9083346006,52.360578187,Weesperpoort (263),weesperstraat_hoek_rhijnspoorple
4.9186181899,52.363916302,Artisbrug (264),plantage_middenlaan
4.9199700233,52.3632447682,Muiderpoortbrug (265),alexanderplein
4.8599797365,52.364605842,Kinkerbrug (266),kinkerbrug
4.9309831735,52.3422763155,Brug no. 267,fizeaustraat
4.9194979545,52.371710261,Kippebrug (270),wittenburgerkade
4.9453973647,52.3527069026,Brug no. 271,rutherfordstraat_over_molenweter
4.9211716529,52.3751556074,Mariniersbrug (272),kattenburgerstraat1
4.9286872026,52.3409653545,Brug no. 273,von_guerickestraat
4.9144554015,52.3708914604,Kattenburgerbrug (274),oostenburgergracht_hoek_nieuwe_v
4.8422288772,52.4044498377,Brug no. 275,nieuwe_hemweg4
4.9189025041,52.3692767413,Pelikaanbrug (277),overhaalsgang
4.9116659042,52.3703019146,Scharrebiersluis (278),schippersgracht_hoek_kadijksplei
4.9078035232,52.3727124522,Kikkerbilsluis (279),oude_schans1
4.9058937904,52.3722801372,Montelbaansbrug (280),oude_schans
4.9073743697,52.3715203006,Peperbrug (281),rapenburgwal_hoek_peperstraat
4.9034476157,52.3736491202,Waalseilandbrug (283),buiten_bantammerstraat
4.902219164,52.377169635,Kamperbrug (285),stationssplein
4.9040323373,52.3710486713,Keizersbrug (286),oudeschans_hoek_korte_koningsstr
4.9010604497,52.3696042753,Sint Anthoniesluis (287),sint_antoniestraat_hoek_jodenbre
4.904477584,52.3716021802,Lastagebrug (288),oude_schans_hoek_rechtboomssloot
4.9012750264,52.3705311834,Snoekjesbrug (289),snoekjesgracht_hoek_snoekjesstee
4.9016237136,52.3709798916,Brug no. 290,kromboomssloot_hoek_korte_dijkst
4.9029648181,52.3695747973,Steenvoetsluis (291),houtkopersburgwal_hoek_nieuwe_ui
4.902514207,52.3720083006,Schottenburchsbrug (292),kromboomssloot_hoek_korte_koning
4.9022728082,52.371526851,Armeenschebrug (293),kromboomssloot_hoek_korte_keizer
4.9048852798,52.3759579546,Brug no. 294,prins_hendrikkade_hoek_stationsp
4.9027556058,52.3724668192,Boomsbrug (295),rechtboomsloot
4.9029540893,52.3724733694,Boomsluis (296),rechtboomssloot_hoek_kromboomssl
4.9012642976,52.3733871171,Gelderschebrug (297),rechtboomsloot_hoek_geldersekade
4.9012535688,52.3741698465,Bantammerbrug (298),geldersekade_hoek_binnen_bantamm
4.9026054021,52.3764426307,Hoofdbrug (299),prins_hendrikkade1
4.9034905311,52.3753128031,Kraansluis (300),prins_hendrikkade
4.9023425456,52.3766325699,Kolkswaterkering (301),prins_hendrikkade_brug_301
4.9006098386,52.3758171355,Kolksluis (302),zeedijk_hoek_o_z_kolk
4.8987591144,52.3768519815,Nieuwe Brug (303),damrak
4.9353551742,52.3515502545,Brug no. 304,linnaeushof_naast_cygnus_lyceum
4.840801942,52.3520466667,Brug no. 305,delflandlaan
4.899048793,52.3777820122,Stationsbrug (306),damrak1
4.8465525981,52.342384468,Riekerhavenbrug (307),jaagpad
4.906017172,52.4172934863,Meerbrug (308),kadoelenweg
4.9125671264,52.3385137531,Brug no. 311,korte_ouderkerkerdijk
4.9036246415,52.4178120621,Brug no. 312,eudornastraat
4.8893713828,52.3814495481,Eenhoornsluis (313),korte_prinsengracht_hoek_haarlem
4.8932981368,52.3831391317,Westerdok-sluis (314),westerdoksdijk
4.8883843299,52.3855620652,Galgenbrug (315),bickersgracht
4.8899078246,52.3871336267,Zandhoeksbrug (316),realengracht_hoek_grote_bickerss
